投稿ID,アカウントID,アカウントのユーザーネーム,アカウント名,説明,時間(秒),公開時間,リンク,投稿タイプ,データコメント,日時,ビュー,リーチ,いいね！の数,シェア数,フォロー数,コメント数,保存数
18068545586626742,17841478326496503,eggrypto_official,エグリプト公式,"エグリプトのモンスターをご紹介！

「グラビ&アイラ」
「オラトリア&ウィルオウィスプ」
「アリス&ヒートスライム」

お気に入りのモンスターをコレクションしたり、
育成してバトルができます！

あなたはこのモンスター知ってましたか？
ぜひ気軽にコメントで教えてください👇

#エグリプト #EGGRYPTO #NFTゲーム #NFTGame #ブロックチェーンゲーム",20,"01/05/2026 20:38",https://www.instagram.com/reel/DTJ--BZj4vH/,IGリール動画,,通算,199,122,4,0,0,0,4
17896374789370606,17841478326496503,eggrypto_official,エグリプト公式,"エグリプトのモンスターをご紹介！

「天獣テトロ」
「天獣コハク」
「天獣イナバ」

お気に入りのモンスターをコレクションしたり、
育成してバトルができます！

あなたはこのモンスター知ってましたか？
ぜひ気軽にコメントで教えてください👇

#エグリプト #EGGRYPTO #NFTゲーム #NFTGame #ブロックチェーンゲーム",15,"01/07/2026 00:46",https://www.instagram.com/reel/DTM-wWJD46f/,IGリール動画,,通算,2287,1948,22,2,1,0,11
18146010106452071,17841478326496503,eggrypto_official,エグリプト公式,"エグリプトのモンスターをご紹介！

「レオナ」
「天獣コハク」
「ツキノオルタ」
「ヒュウガ」
「リンレイ」
「ナイトメア」
「メロメロスライム」
「ヴァンバルド」
「アオトルト」

お気に入りのモンスターをコレクションしたり、
育成してバトルができます！

あなたはこのモンスター知ってましたか？
ぜひ気軽にコメントで教えてください👇

#エグリプト #EGGRYPTO #NFTゲーム #NFTGame #ブロックチェーンゲーム",15,"01/08/2026 00:29",https://www.instagram.com/reel/DTPjYnsDy15/,IGリール動画,,通算,333,221,3,0,0,0,0
18094110913745649,17841478326496503,eggrypto_official,エグリプト公式,"NFTゲームとは？
例えば、ゲームに登場するモンスターが、あなたの『資産』になるかもしれないということ。

もしかしたら、あなたが出会ったモンスターに価値がつくかも！

ゲームを遊びながら、あなただけの“資産”を手に入れてみませんか？

#NFTゲーム #エグリプト #ブロックチェーンゲーム #モンスター育成 #ゲーム紹介",20,"01/08/2026 23:57",https://www.instagram.com/reel/DTR02cVD4M-/,IGリール動画,,通算,404,298,5,0,0,0,2
18021482072621768,17841478326496503,eggrypto_official,エグリプト公式,"あなたはどの子を選ぶ？✨
カワイイ系からカッコイイ系まで、個性豊かなモンスターが勢ぞろい！
自分だけの「唯一無二のモンスター」を見つけて、最強のチームを作っちゃおう💪

みんなは「カワイイ派」？それとも「カッコイイ派」？
ぜひコメントで教えてね！👇

#エグリプト #EGGRYPTO #NFTゲーム #モンスター育成 #スマホゲーム",15,"01/13/2026 00:02",https://www.instagram.com/reel/DTcOUStD2Cc/,IGリール動画,,通算,1969,1547,13,1,0,0,14
18070981127141880,17841478326496503,eggrypto_official,エグリプト公式,"エグリプトのモンスターをご紹介！

「カルナ・紅ノ弓」
「カルナ・翆ノ弓」
「アストライア」

お気に入りのモンスターをコレクションしたり、
育成してバトルができます！

あなたはこのモンスター知ってましたか？
ぜひ気軽にコメントで教えてください👇

#エグリプト #EGGRYPTO #NFTゲーム #モンスター育成 #スマホゲーム",15,"01/13/2026 23:38",https://www.instagram.com/reel/DTe5whTjzCj/,IGリール動画,,通算,386,296,3,0,0,0,1
17866673394544655,17841478326496503,eggrypto_official,エグリプト公式,"エグリプトのモンスターをご紹介！

「ベルゼブブ」
「アスクレピオス」
「スカラベ」

お気に入りのモンスターをコレクションしたり、
育成してバトルができます！

あなたはこのモンスター知ってましたか？
ぜひ気軽にコメントで教えてください👇

#エグリプト #EGGRYPTO #NFTゲーム #モンスター育成 #スマホゲーム",15,"01/15/2026 22:01",https://www.instagram.com/reel/DTj4n5bj5Ag/,IGリール動画,,通算,561,453,2,0,0,0,2
18092922499783995,17841478326496503,eggrypto_official,エグリプト公式,"ゲームで資産価値がつくNFTモンスター入手できるかも!?
あなただけのレアモンに出会える！
エグリプトで気軽にNFT体験を始めよう！

#エグリプト #EGGRYPTO #NFTゲーム #育成rpg #スマホゲーム",30,"01/18/2026 23:24",https://www.instagram.com/reel/DTrwfkaj-sC/,IGリール動画,,通算,306,246,1,0,0,0,1
18016653545684430,17841478326496503,eggrypto_official,エグリプト公式,"エグリプトのバトルは
ただ育てるだけじゃ勝てない！？

大事なのは【属性の相性】です！

相手の弱点を突くパーティ編成が
勝利への最短ルート！
戦略を駆使して、強敵を撃破しよう！⚔️

#エグリプト #EGGRYPTO #NFTゲーム #モンスター育成 #育成RPG",11,"01/21/2026 00:08",https://www.instagram.com/reel/DTw_Yb9D7fv/,IGリール動画,,通算,274,224,4,0,0,0,0
18084165635151901,17841478326496503,eggrypto_official,エグリプト公式,"エグリプトのモンスターをご紹介！

「ラズベリー」

・火属性
・星5モンスター

お気に入りのモンスターをコレクションしたり、
育成してバトルができます！

動画の最後に登場したこのモンスター、知ってましたか？
ぜひ気軽にコメントで教えてください👇

#エグリプト #EGGRYPTO #NFTゲーム #モンスター育成 #スマホゲーム",12,"01/21/2026 23:51",https://www.instagram.com/reel/DTziGtWj5V-/,IGリール動画,,通算,362,298,4,0,0,0,1
